,0
2021-07-05 04:15:00,-0.250867377
2021-07-05 04:30:00,-0.256157396
2021-07-05 04:45:00,-0.219548133
2021-07-05 05:00:00,-0.308668514
2021-07-05 05:15:00,-0.271257239
2021-07-05 05:30:00,-0.254217249
2021-07-05 05:45:00,-0.102023648
2021-07-05 06:00:00,-0.262793224
2021-07-05 06:15:00,0.010061049
2021-07-05 06:30:00,-0.270791103
2021-07-05 06:45:00,-0.084636383
2021-07-05 07:00:00,0.082648168
2021-07-05 07:15:00,-0.159769757
2021-07-05 07:30:00,0.109006232
2021-07-05 07:45:00,0.307982468
2021-07-05 08:00:00,0.135287404
2021-07-05 08:15:00,0.459380839
2021-07-05 08:30:00,0.605628852
2021-07-05 08:45:00,1.305349099
2021-07-05 09:00:00,1.628488657
2021-07-05 09:15:00,1.948198726
2021-07-05 09:30:00,1.750566581
2021-07-05 09:45:00,1.561008719
2021-07-05 10:00:00,1.712815904
2021-07-05 10:15:00,1.366252037
2021-07-05 10:30:00,1.633528038
2021-07-05 10:45:00,1.539445501
2021-07-05 11:00:00,1.268741642
2021-07-05 11:15:00,1.325065745
2021-07-05 11:30:00,1.196424258
2021-07-05 11:45:00,1.232636117
2021-07-05 12:00:00,1.102206834
2021-07-05 12:15:00,1.114590725
2021-07-05 12:30:00,0.816351046
2021-07-05 12:45:00,0.523830742
2021-07-05 13:00:00,0.456451476
2021-07-05 13:15:00,0.38105696
2021-07-05 13:30:00,-0.064448837
2021-07-05 13:45:00,-0.36784836
2021-07-05 14:00:00,-0.444995717
2021-07-05 14:15:00,-0.571568356
2021-07-05 14:30:00,-0.691785553
2021-07-05 14:45:00,-0.72040336
2021-07-05 15:00:00,-0.595893024
2021-07-05 15:15:00,-0.494916409
2021-07-05 15:30:00,-0.376799581
2021-07-05 15:45:00,-0.336481979
2021-07-05 16:00:00,-0.34846946
2021-07-05 16:15:00,-0.43795432
2021-07-05 16:30:00,-0.371973932
2021-07-05 16:45:00,-0.424488805
2021-07-05 17:00:00,-0.37248865
2021-07-05 17:15:00,-0.403818103
2021-07-05 17:30:00,-0.301971185
2021-07-05 17:45:00,-0.354242008
2021-07-05 18:00:00,-0.362035912
2021-07-05 18:15:00,-0.203411037
2021-07-05 18:30:00,-0.352928042
2021-07-05 18:45:00,-0.359743078
2021-07-05 19:00:00,-0.517565542
2021-07-05 19:15:00,-0.526445341
2021-07-05 19:30:00,-0.536270284
2021-07-05 19:45:00,-0.757354473
2021-07-05 20:00:00,-0.661606979
2021-07-05 20:15:00,-0.862652267
2021-07-05 20:30:00,-0.846666984
2021-07-05 20:45:00,-0.744964022
2021-07-05 21:00:00,-0.923611618
2021-07-05 21:15:00,-0.617677567
2021-07-05 21:30:00,-0.709223233
2021-07-05 21:45:00,-0.21958852
2021-07-05 22:00:00,0.187050584
2021-07-05 22:15:00,0.849664302
2021-07-05 22:30:00,2.113572945
2021-07-05 22:45:00,2.126723577
