agency_cd,site_no,datetime,tz_cd,"Gage height, feet",gage.elevation.ft,,
USGS,21720368,1/5/21 18:00,EST,8.24,,,
USGS,21720368,1/5/21 18:15,EST,8.23,,,
USGS,21720368,1/5/21 18:30,EST,7.96,,,
USGS,21720368,1/5/21 18:45,EST,7.72,,,
USGS,21720368,1/5/21 19:00,EST,7.32,,,
USGS,21720368,1/5/21 19:15,EST,7.3,,,
USGS,21720368,1/5/21 19:30,EST,7,,,
USGS,21720368,1/5/21 19:45,EST,6.44,,,
USGS,21720368,1/5/21 20:00,EST,6.16,,,
USGS,21720368,1/5/21 20:15,EST,6.1,,,
USGS,21720368,1/5/21 20:30,EST,5.78,,,
USGS,21720368,1/5/21 20:45,EST,5.59,,,
USGS,21720368,1/5/21 21:00,EST,5.33,,,
USGS,21720368,1/5/21 21:15,EST,5.19,,,
USGS,21720368,1/5/21 21:30,EST,5.18,,,
USGS,21720368,1/5/21 21:45,EST,5.19,,,
USGS,21720368,1/5/21 22:00,EST,5.26,,,
USGS,21720368,1/5/21 22:15,EST,5.45,,,
USGS,21720368,1/5/21 22:30,EST,5.64,,,
USGS,21720368,1/5/21 22:45,EST,5.91,,,
USGS,21720368,1/5/21 23:00,EST,6.13,,,
USGS,21720368,1/5/21 23:15,EST,6.33,,,
USGS,21720368,1/5/21 23:30,EST,6.52,,,
USGS,21720368,1/5/21 23:45,EST,6.71,,,
USGS,21720368,1/6/21 0:00,EST,6.84,,,
USGS,21720368,1/6/21 0:15,EST,6.96,,,
USGS,21720368,1/6/21 0:30,EST,7.08,,,
USGS,21720368,1/6/21 0:45,EST,7.19,,,
USGS,21720368,1/6/21 1:00,EST,7.31,,,
USGS,21720368,1/6/21 1:15,EST,7.42,,,
USGS,21720368,1/6/21 1:30,EST,7.53,,,
USGS,21720368,1/6/21 1:45,EST,7.63,,,
USGS,21720368,1/6/21 2:00,EST,7.71,,,
USGS,21720368,1/6/21 2:15,EST,7.79,,,
USGS,21720368,1/6/21 2:30,EST,7.88,,,
USGS,21720368,1/6/21 2:45,EST,7.96,,,
