Sample time,Discharge,Stage (m)
4/1/2020 9:46,1.812634506,-0.494651155
4/1/2020 10:01,1.886795886,-0.550658966
4/1/2020 10:16,1.71015274,-0.606428861
4/1/2020 10:31,1.459448277,-0.659150206
4/1/2020 10:46,1.493153599,-0.711356895
4/1/2020 11:01,1.411949734,-0.760407364
4/1/2020 11:16,1.277386583,-0.805641651
4/1/2020 11:31,1.060515794,-0.838329058
4/1/2020 11:46,0.551706222,-0.846026862
4/1/2020 12:01,-0.023921778,-0.806679288
4/1/2020 12:16,-0.237544364,-0.737069462
4/1/2020 12:31,-0.605857947,-0.656753988
4/1/2020 12:46,-0.121714815,-0.590922771
4/1/2020 13:01,-0.431814255,-0.552616148
4/1/2020 13:16,0.321800849,-0.524291156
4/1/2020 13:31,1.086675358,-0.499803591
4/1/2020 13:46,-0.337171769,-0.474778062
4/1/2020 14:01,-0.157677876,-0.443711385
4/1/2020 14:16,-0.012062819,-0.409578783
4/1/2020 14:31,-0.560914841,-0.374738592
4/1/2020 14:46,0.323257003,-0.346551428
4/1/2020 15:01,0.055449684,-0.323477992
4/1/2020 15:16,-0.220544322,-0.305041969
4/1/2020 15:31,-0.292827595,-0.289734482
4/1/2020 15:46,0.386540743,-0.276676321
4/1/2020 16:01,0.05785837,-0.262250389
4/1/2020 16:16,-0.133430794,-0.248130252
4/1/2020 16:31,-0.35350275,-0.230222597
4/1/2020 16:46,0.010706389,-0.212715941
4/1/2020 17:01,-0.162985765,-0.196061756
4/1/2020 17:16,-0.364982034,-0.181999708
4/1/2020 17:31,1.447886199,-0.172968291
4/1/2020 17:46,-0.241898596,-0.167864818
4/1/2020 18:01,0.794293301,-0.1694172
4/1/2020 18:16,1.319915483,-0.175207053
4/1/2020 18:31,1.010659682,-0.186051459
4/1/2020 18:46,0.949775224,-0.203368766
4/1/2020 19:01,1.329639299,-0.22080978
4/1/2020 19:16,1.116317788,-0.244500857
4/1/2020 19:31,2.039599048,-0.271817814
4/1/2020 19:46,1.372749163,-0.302777673
4/1/2020 20:01,1.520208104,-0.337167478
4/1/2020 20:16,1.567454042,-0.374705848
4/1/2020 20:31,1.394452694,-0.414395964
4/1/2020 20:46,1.495818755,-0.456088841
4/1/2020 21:01,1.446419149,-0.499434212
4/1/2020 21:16,1.531164577,-0.543744515
4/1/2020 21:31,1.235497682,-0.587426359
4/1/2020 21:46,1.029413585,-0.631086838
4/1/2020 22:01,0.835870579,-0.674475849
4/1/2020 22:16,1.052373089,-0.71836721
4/1/2020 22:31,1.093837551,-0.759209374
4/1/2020 22:46,0.91551162,-0.799123705
4/1/2020 23:01,0.765124348,-0.836227909
4/1/2020 23:16,0.956530105,-0.870201527
